run_id,dataset_type,imbalance_ratio,model,strategy,train_set_size,accuracy,f1_macro,f1_minority,precision_minority,recall_minority,roc_auc
3,control,20:1,ddpm,Naive Oversampling,432,0.7875647668393783,0.7873592561739178,0.7807486631016043,0.7448979591836735,0.8202247191011236,0.8639261019878998
3,control,20:1,nflow,Naive Oversampling,432,0.7668393782383419,0.7666138177518609,0.7593582887700535,0.7244897959183674,0.797752808988764,0.8667350907519447
3,control,20:1,ctgan,Naive Oversampling,432,0.7772020725388601,0.7771781447174118,0.774869109947644,0.7254901960784313,0.8314606741573034,0.8600907519446845
3,control,20:1,tvae,Naive Oversampling,432,0.7823834196891192,0.7820967741935484,0.7741935483870968,0.7422680412371134,0.8089887640449438,0.8673833189282627
1,control,5:1,baseline,N/A,494,0.7668393782383419,0.7666138177518609,0.7593582887700535,0.7244897959183674,0.797752808988764,0.8643582541054453
1,control,5:1,ddpm,Naive Oversampling,494,0.7564766839378239,0.7560575500874008,0.745945945945946,0.71875,0.7752808988764045,0.8634399308556612
1,control,5:1,nflow,Naive Oversampling,494,0.7616580310880829,0.7614979583064689,0.7553191489361702,0.7171717171717171,0.797752808988764,0.8626836646499568
1,control,5:1,ctgan,Naive Oversampling,494,0.7668393782383419,0.7667391829828378,0.7619047619047619,0.72,0.8089887640449438,0.8574438202247191
1,control,5:1,tvae,Naive Oversampling,494,0.772020725388601,0.7720146048109966,0.7731958762886598,0.7142857142857143,0.8426966292134831,0.863061797752809
2,control,5:1,baseline,N/A,494,0.7668393782383419,0.7666138177518609,0.7593582887700535,0.7244897959183674,0.797752808988764,0.8643582541054453
2,control,5:1,ddpm,Naive Oversampling,494,0.7616580310880829,0.7611386138613861,0.75,0.7263157894736842,0.7752808988764045,0.8651145203111495
2,control,5:1,nflow,Naive Oversampling,494,0.7668393782383419,0.7666138177518609,0.7593582887700535,0.7244897959183674,0.797752808988764,0.8730012964563527
2,control,5:1,ctgan,Naive Oversampling,494,0.772020725388601,0.7718676122931443,0.7659574468085106,0.7272727272727273,0.8089887640449438,0.8692739844425237
2,control,5:1,tvae,Naive Oversampling,494,0.772020725388601,0.7720146048109966,0.7731958762886598,0.7142857142857143,0.8426966292134831,0.863061797752809
3,control,5:1,baseline,N/A,494,0.7668393782383419,0.7666138177518609,0.7593582887700535,0.7244897959183674,0.797752808988764,0.8643582541054453
3,control,5:1,ddpm,Naive Oversampling,494,0.772020725388601,0.7715238915195868,0.7608695652173914,0.7368421052631579,0.7865168539325843,0.8613331892826275
3,control,5:1,nflow,Naive Oversampling,494,0.7668393782383419,0.7666138177518609,0.7593582887700535,0.7244897959183674,0.797752808988764,0.8673833189282627
3,control,5:1,ctgan,Naive Oversampling,494,0.7512953367875648,0.7512886597938144,0.75,0.6990291262135923,0.8089887640449438,0.8634399308556612
3,control,5:1,tvae,Naive Oversampling,494,0.772020725388601,0.7720146048109966,0.7731958762886598,0.7142857142857143,0.8426966292134831,0.863061797752809
1,control,50:1,baseline,N/A,420,0.7927461139896373,0.792294446835988,0.782608695652174,0.7578947368421053,0.8089887640449438,0.866843128781331
